County Name,Code
Aleutians East Borough,13
Aleutians West Census Area,16
Anchorage Municipality,20
Bethel Census Area,50
Bristol Bay Borough,60
Denali Borough,68
Dillingham Census Area,70
Fairbanks North Star Borough,90
Haines Borough,100
Hoonah-Angoon Census Area,105
Juneau City and Borough,110
Kenai Peninsula Borough,122
Ketchikan Gateway Borough,130
Kodiak Island Borough,150
Lake and Peninsula Borough,164
Matanuska-Susitna Borough,170
Nome Census Area,180
North Slope Borough,185
Northwest Arctic Borough,188
Petersburg Census Area,195
Prince of Wales-Hyder Census Area,198
Sitka City and Borough,220
Skagway Municipality,230
Southeast Fairbanks Census Area,240
Valdez-Cordova Census Area,261
Wade Hampton Census Area,270
Wrangell City and Borough,275
Yakutat City and Borough,282
Yukon-Koyukuk Census Area,290
