County Name,Code
Alachua,1
Baker,3
Bay,5
Bradford,7
Brevard,9
Broward,11
Calhoun,13
Charlotte,15
Citrus,17
Clay,19
Collier,21
Columbia,23
DeSoto,27
Dixie,29
Duval,31
Escambia,33
Flagler,35
Franklin,37
Gadsden,39
Gilchrist,41
Glades,43
Gulf,45
Hamilton,47
Hardee,49
Hendry,51
Hernando,53
Highlands,55
Hillsborough,57
Holmes,59
Indian River,61
Jackson,63
Jefferson,65
Lafayette,67
Lake,69
Lee,71
Leon,73
Levy,75
Liberty,77
Madison,79
Manatee,81
Marion,83
Martin,85
Miami-Dade,86
Monroe,87
Nassau,89
Okaloosa,91
Okeechobee,93
Orange,95
Osceola,97
Palm Beach,99
Pasco,101
Pinellas,103
Polk,105
Putnam,107
St. Johns,109
St. Lucie,111
Santa Rosa,113
Sarasota,115
Seminole,117
Sumter,119
Suwannee,121
Taylor,123
Union,125
Volusia,127
Wakulla,129
Walton,131
Washington,133
