County Name,Code
Acadia,1
Allen,3
Ascension,5
Assumption,7
Avoyelles,9
Beauregard,11
Bienville,13
Bossier,15
Caddo,17
Calcasieu,19
Caldwell,21
Cameron,23
Catahoula,25
Claiborne,27
Concordia,29
De Soto,31
East Baton Rouge,33
East Carroll,35
East Feliciana,37
Evangeline,39
Franklin,41
Grant,43
Iberia,45
Iberville,47
Jackson,49
Jefferson,51
Jefferson Davis,53
Lafayette,55
Lafourche,57
La Salle,59
Lincoln,61
Livingston,63
Madison,65
Morehouse,67
Natchitoches,69
Orleans,71
Ouachita,73
Plaquemines,75
Pointe Coupee,77
Rapides,79
Red River,81
Richland,83
Sabine,85
St. Bernard,87
St. Charles,89
St. Helena,91
St. James,93
St. John the Baptist,95
St. Landry,97
St. Martin,99
St. Mary,101
St. Tammany,103
Tangipahoa,105
Tensas,107
Terrebonne,109
Union,111
Vermilion,113
Vernon,115
Washington,117
Webster,119
West Baton Rouge,121
West Carroll,123
West Feliciana,125
Winn,127
