County Name,Code
Accomack,1
Albemarle,3
Alleghany,5
Amelia,7
Amherst,9
Appomattox,11
Arlington,13
Augusta,15
Bath,17
Bedford,19
Bland,21
Botetourt,23
Brunswick,25
Buchanan,27
Buckingham,29
Campbell,31
Caroline,33
Carroll,35
Charles,36
Charlotte,37
Chesterfield,41
Clarke,43
Craig,45
Culpeper,47
Cumberland,49
Dickenson,51
Dinwiddie,53
Essex,57
Fairfax,59
Fauquier,61
Floyd,63
Fluvanna,65
Franklin,67
Frederick,69
Giles,71
Gloucester,73
Goochland,75
Grayson,77
Greene,79
Greensville,81
Halifax,83
Hanover,85
Henrico,87
Henry,89
Highland,91
Isle of Wight,93
James,95
King and Queen,97
King George,99
King William,101
Lancaster,103
Lee,105
Loudoun,107
Louisa,109
Lunenburg,111
Madison,113
Mathews,115
Mecklenburg,117
Middlesex,119
Montgomery,121
Nelson,125
New Kent,127
Northampton,131
Northumberland,133
Nottoway,135
Orange,137
Page,139
Patrick,141
Pittsylvania,143
Powhatan,145
Prince Edward,147
Prince George,149
Prince William,153
Pulaski,155
Rappahannock,157
Richmond,159
Roanoke,161
Rockbridge,163
Rockingham,165
Russell,167
Scott,169
Shenandoah,171
Smyth,173
Southampton,175
Spotsylvania,177
Stafford,179
Surry,181
Sussex,183
Tazewell,185
Warren,187
Washington,191
Westmoreland,193
Wise,195
Wythe,197
York,199
Alexandria,510
Bedford,515
Bristol,520
Buena Vista,530
Charlottesville,540
Chesapeake,550
Colonial Heights,570
Covington,580
Danville,590
Emporia,595
Fairfax,600
Falls Church,610
Franklin,620
Fredericksburg,630
Galax,640
Hampton,650
Harrisonburg,660
Hopewell,670
Lexington,678
Lynchburg,680
Manassas,683
Manassas Park,685
Martinsville,690
Newport News,700
Norfolk,710
Norton,720
Petersburg,730
Poquoson,735
Portsmouth,740
Radford,750
Richmond,760
Roanoke,770
Salem,775
Staunton,790
Suffolk,800
Virginia Beach,810
Waynesboro,820
Williamsburg,830
Winchester,840
