County Name,Code
Beaverhead,1
Big Horn,3
Blaine,5
Broadwater,7
Carbon,9
Carter,11
Cascade,13
Chouteau,15
Custer,17
Daniels,19
Dawson,21
Deer Lodge,23
Fallon,25
Fergus,27
Flathead,29
Gallatin,31
Garfield,33
Glacier,35
Golden Valley,37
Granite,39
Hill,41
Jefferson,43
Judith Basin,45
Lake,47
Lewis and Clark,49
Liberty,51
Lincoln,53
McCone,55
Madison,57
Meagher,59
Mineral,61
Missoula,63
Musselshell,65
Park,67
Petroleum,69
Phillips,71
Pondera,73
Powder River,75
Powell,77
Prairie,79
Ravalli,81
Richland,83
Roosevelt,85
Rosebud,87
Sanders,89
Sheridan,91
Silver Bow,93
Stillwater,95
Sweet Grass,97
Teton,99
Toole,101
Treasure,103
Valley,105
Wheatland,107
Wibaux,109
Yellowstone,111
