County Name,Code
Abbeville,1
Aiken,3
Allendale,5
Anderson,7
Bamberg,9
Barnwell,11
Beaufort,13
Berkeley,15
Calhoun,17
Charleston,19
Cherokee,21
Chester,23
Chesterfield,25
Clarendon,27
Colleton,29
Darlington,31
Dillon,33
Dorchester,35
Edgefield,37
Fairfield,39
Florence,41
Georgetown,43
Greenville,45
Greenwood,47
Hampton,49
Horry,51
Jasper,53
Kershaw,55
Lancaster,57
Laurens,59
Lee,61
Lexington,63
McCormick,65
Marion,67
Marlboro,69
Newberry,71
Oconee,73
Orangeburg,75
Pickens,77
Richland,79
Saluda,81
Spartanburg,83
Sumter,85
Union,87
Williamsburg,89
York,91
