County Name,Code
Adjuntas,1
Aguada,3
Aguadilla,5
Aguas Buenas,7
Aibonito,9
Anasco,11
Arecibo,13
Arroyo,15
Barceloneta,17
Barranquitas,19
Bayamon,21
Cabo Rojo,23
Caguas,25
Camuy,27
Canovanas,29
Carolina,31
Catano,33
Cayey,35
Ceiba,37
Ciales,39
Cidra,41
Coamo,43
Comerio,45
Corozal,47
Culebra,49
Dorado,51
Fajardo,53
Florida,54
Guanica,55
Guayama,57
Guayanilla,59
Guaynabo,61
Gurabo,63
Hatillo,65
Hormigueros,67
Humacao,69
Isabela,71
Jayuya,73
Juana Diaz,75
Juncos,77
Lajas,79
Lares,81
Las Marias,83
Las Piedras,85
Loiza,87
Luquillo,89
Manati,91
Maricao,93
Maunabo,95
Mayaguez,97
Moca,99
Morovis,101
Naguabo,103
Naranjito,105
Orocovis,107
Patillas,109
Penuelas,111
Ponce,113
Quebradillas,115
Rincon,117
Rio Grande,119
Sabana Grande,121
Salinas,123
San German,125
San Juan,127
San Lorenzo,129
San Sebastian,131
Santa Isabel,133
Toa Alta,135
Toa Baja,137
Trujillo Alto,139
Utuado,141
Vega Alta,143
Vega Baja,145
Vieques,147
Villalba,149
Yabucoa,151
Yauco,153
