County Name,Code
Adams,1
Alamosa,3
Arapahoe,5
Archuleta,7
Baca,9
Bent,11
Boulder,13
Broomfield,14
Chaffee,15
Cheyenne,17
Clear Creek,19
Conejos,21
Costilla,23
Crowley,25
Custer,27
Delta,29
Denver,31
Dolores,33
Douglas,35
Eagle,37
Elbert,39
El Paso,41
Fremont,43
Garfield,45
Gilpin,47
Grand,49
Gunnison,51
Hinsdale,53
Huerfano,55
Jackson,57
Jefferson,59
Kiowa,61
Kit Carson,63
Lake,65
La Plata,67
Larimer,69
Las Animas,71
Lincoln,73
Logan,75
Mesa,77
Mineral,79
Moffat,81
Montezuma,83
Montrose,85
Morgan,87
Otero,89
Ouray,91
Park,93
Phillips,95
Pitkin,97
Prowers,99
Pueblo,101
Rio Blanco,103
Rio Grande,105
Routt,107
Saguache,109
San Juan,111
San Miguel,113
Sedgwick,115
Summit,117
Teller,119
Washington,121
Weld,123
Yuma,125
