County Name,Code
Adams,1
Ashland,3
Barron,5
Bayfield,7
Brown,9
Buffalo,11
Burnett,13
Calumet,15
Chippewa,17
Clark,19
Columbia,21
Crawford,23
Dane,25
Dodge,27
Door,29
Douglas,31
Dunn,33
Eau Claire,35
Florence,37
Fond du Lac,39
Forest,41
Grant,43
Green,45
Green Lake,47
Iowa,49
Iron,51
Jackson,53
Jefferson,55
Juneau,57
Kenosha,59
Kewaunee,61
La Crosse,63
Lafayette,65
Langlade,67
Lincoln,69
Manitowoc,71
Marathon,73
Marinette,75
Marquette,77
Menominee,78
Milwaukee,79
Monroe,81
Oconto,83
Oneida,85
Outagamie,87
Ozaukee,89
Pepin,91
Pierce,93
Polk,95
Portage,97
Price,99
Racine,101
Richland,103
Rock,105
Rusk,107
St. Croix,109
Sauk,111
Sawyer,113
Shawano,115
Sheboygan,117
Taylor,119
Trempealeau,121
Vernon,123
Vilas,125
Walworth,127
Washburn,129
Washington,131
Waukesha,133
Waupaca,135
Waushara,137
Winnebago,139
Wood,141
