County Name,Code
Adams,1
Barnes,3
Benson,5
Billings,7
Bottineau,9
Bowman,11
Burke,13
Burleigh,15
Cass,17
Cavalier,19
Dickey,21
Divide,23
Dunn,25
Eddy,27
Emmons,29
Foster,31
Golden Valley,33
Grand Forks,35
Grant,37
Griggs,39
Hettinger,41
Kidder,43
LaMoure,45
Logan,47
McHenry,49
McIntosh,51
McKenzie,53
McLean,55
Mercer,57
Morton,59
Mountrail,61
Nelson,63
Oliver,65
Pembina,67
Pierce,69
Ramsey,71
Ransom,73
Renville,75
Richland,77
Rolette,79
Sargent,81
Sheridan,83
Sioux,85
Slope,87
Stark,89
Steele,91
Stutsman,93
Towner,95
Traill,97
Walsh,99
Ward,101
Wells,103
Williams,105
