County Name,Code
Adams,1
Alcorn,3
Amite,5
Attala,7
Benton,9
Bolivar,11
Calhoun,13
Carroll,15
Chickasaw,17
Choctaw,19
Claiborne,21
Clarke,23
Clay,25
Coahoma,27
Copiah,29
Covington,31
DeSoto,33
Forrest,35
Franklin,37
George,39
Greene,41
Grenada,43
Hancock,45
Harrison,47
Hinds,49
Holmes,51
Humphreys,53
Issaquena,55
Itawamba,57
Jackson,59
Jasper,61
Jefferson,63
Jefferson Davis,65
Jones,67
Kemper,69
Lafayette,71
Lamar,73
Lauderdale,75
Lawrence,77
Leake,79
Lee,81
Leflore,83
Lincoln,85
Lowndes,87
Madison,89
Marion,91
Marshall,93
Monroe,95
Montgomery,97
Neshoba,99
Newton,101
Noxubee,103
Oktibbeha,105
Panola,107
Pearl River,109
Perry,111
Pike,113
Pontotoc,115
Prentiss,117
Quitman,119
Rankin,121
Scott,123
Sharkey,125
Simpson,127
Smith,129
Stone,131
Sunflower,133
Tallahatchie,135
Tate,137
Tippah,139
Tishomingo,141
Tunica,143
Union,145
Walthall,147
Warren,149
Washington,151
Wayne,153
Webster,155
Wilkinson,157
Winston,159
Yalobusha,161
Yazoo,163
