County Name,Code
Autauga,1
Baldwin,3
Barbour,5
Bibb,7
Blount,9
Bullock,11
Butler,13
Calhoun,15
Chambers,17
Cherokee,19
Chilton,21
Choctaw,23
Clarke,25
Clay,27
Cleburne,29
Coffee,31
Colbert,33
Conecuh,35
Coosa,37
Covington,39
Crenshaw,41
Cullman,43
Dale,45
Dallas,47
DeKalb,49
Elmore,51
Escambia,53
Etowah,55
Fayette,57
Franklin,59
Geneva,61
Greene,63
Hale,65
Henry,67
Houston,69
Jackson,71
Jefferson,73
Lamar,75
Lauderdale,77
Lawrence,79
Lee,81
Limestone,83
Lowndes,85
Macon,87
Madison,89
Marengo,91
Marion,93
Marshall,95
Mobile,97
Monroe,99
Montgomery,101
Morgan,103
Perry,105
Pickens,107
Pike,109
Randolph,111
Russell,113
St. Clair,115
Shelby,117
Sumter,119
Talladega,121
Tallapoosa,123
Tuscaloosa,125
Walker,127
Washington,129
Wilcox,131
Winston,133
