County Name,Code
Adams,1
Allen,3
Ashland,5
Ashtabula,7
Athens,9
Auglaize,11
Belmont,13
Brown,15
Butler,17
Carroll,19
Champaign,21
Clark,23
Clermont,25
Clinton,27
Columbiana,29
Coshocton,31
Crawford,33
Cuyahoga,35
Darke,37
Defiance,39
Delaware,41
Erie,43
Fairfield,45
Fayette,47
Franklin,49
Fulton,51
Gallia,53
Geauga,55
Greene,57
Guernsey,59
Hamilton,61
Hancock,63
Hardin,65
Harrison,67
Henry,69
Highland,71
Hocking,73
Holmes,75
Huron,77
Jackson,79
Jefferson,81
Knox,83
Lake,85
Lawrence,87
Licking,89
Logan,91
Lorain,93
Lucas,95
Madison,97
Mahoning,99
Marion,101
Medina,103
Meigs,105
Mercer,107
Miami,109
Monroe,111
Montgomery,113
Morgan,115
Morrow,117
Muskingum,119
Noble,121
Ottawa,123
Paulding,125
Perry,127
Pickaway,129
Pike,131
Portage,133
Preble,135
Putnam,137
Richland,139
Ross,141
Sandusky,143
Scioto,145
Seneca,147
Shelby,149
Stark,151
Summit,153
Trumbull,155
Tuscarawas,157
Union,159
Van Wert,161
Vinton,163
Warren,165
Washington,167
Wayne,169
Williams,171
Wood,173
Wyandot,175
