County Name,Code
Adair,1
Andrew,3
Atchison,5
Audrain,7
Barry,9
Barton,11
Bates,13
Benton,15
Bollinger,17
Boone,19
Buchanan,21
Butler,23
Caldwell,25
Callaway,27
Camden,29
Cape Girardeau,31
Carroll,33
Carter,35
Cass,37
Cedar,39
Chariton,41
Christian,43
Clark,45
Clay,47
Clinton,49
Cole,51
Cooper,53
Crawford,55
Dade,57
Dallas,59
Daviess,61
DeKalb,63
Dent,65
Douglas,67
Dunklin,69
Franklin,71
Gasconade,73
Gentry,75
Greene,77
Grundy,79
Harrison,81
Henry,83
Hickory,85
Holt,87
Howard,89
Howell,91
Iron,93
Jackson,95
Jasper,97
Jefferson,99
Johnson,101
Knox,103
Laclede,105
Lafayette,107
Lawrence,109
Lewis,111
Lincoln,113
Linn,115
Livingston,117
McDonald,119
Macon,121
Madison,123
Maries,125
Marion,127
Mercer,129
Miller,131
Mississippi,133
Moniteau,135
Monroe,137
Montgomery,139
Morgan,141
New Madrid,143
Newton,145
Nodaway,147
Oregon,149
Osage,151
Ozark,153
Pemiscot,155
Perry,157
Pettis,159
Phelps,161
Pike,163
Platte,165
Polk,167
Pulaski,169
Putnam,171
Ralls,173
Randolph,175
Ray,177
Reynolds,179
Ripley,181
St. Charles,183
St. Clair,185
Ste. Genevieve,186
St. Francois,187
St. Louis,189
Saline,195
Schuyler,197
Scotland,199
Scott,201
Shannon,203
Shelby,205
Stoddard,207
Stone,209
Sullivan,211
Taney,213
Texas,215
Vernon,217
Warren,219
Washington,221
Wayne,223
Webster,225
Worth,227
Wright,229
St. Louis city,510
