County Name,Code
Alcona,1
Alger,3
Allegan,5
Alpena,7
Antrim,9
Arenac,11
Baraga,13
Barry,15
Bay,17
Benzie,19
Berrien,21
Branch,23
Calhoun,25
Cass,27
Charlevoix,29
Cheboygan,31
Chippewa,33
Clare,35
Clinton,37
Crawford,39
Delta,41
Dickinson,43
Eaton,45
Emmet,47
Genesee,49
Gladwin,51
Gogebic,53
Grand Traverse,55
Gratiot,57
Hillsdale,59
Houghton,61
Huron,63
Ingham,65
Ionia,67
Iosco,69
Iron,71
Isabella,73
Jackson,75
Kalamazoo,77
Kalkaska,79
Kent,81
Keweenaw,83
Lake,85
Lapeer,87
Leelanau,89
Lenawee,91
Livingston,93
Luce,95
Mackinac,97
Macomb,99
Manistee,101
Marquette,103
Mason,105
Mecosta,107
Menominee,109
Midland,111
Missaukee,113
Monroe,115
Montcalm,117
Montmorency,119
Muskegon,121
Newaygo,123
Oakland,125
Oceana,127
Ogemaw,129
Ontonagon,131
Osceola,133
Oscoda,135
Otsego,137
Ottawa,139
Presque Isle,141
Roscommon,143
Saginaw,145
St. Clair,147
St. Joseph,149
Sanilac,151
Schoolcraft,153
Shiawassee,155
Tuscola,157
Van Buren,159
Washtenaw,161
Wayne,163
Wexford,165
