OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area,Area
30,12,54150,02407068,1254150,Palm Beach Shores,Palm Beach Shores town,43,C1,N,N,G4110,A,759226.000000000000000,592526.000000000000000,+26.7773522,-080.0343766,0.046078152993368,0.000122674169088,0.521911363068322
31,12,42900,02406088,1242900,Mangonia Park,Mangonia Park town,43,C1,N,N,G4110,A,1938062.000000000000000,0.000000000000000,+26.7585975,-080.0761423,0.054376280719086,0.000175854688853,0.748285984308384
32,12,07875,02403906,1207875,Boynton Beach,Boynton Beach city,25,C1,Y,N,G4110,A,41846134.000000000000000,1061699.000000000000000,+26.5283343,-080.0807220,0.499291581810477,0.003885667110761,16.566736379901837
33,12,13050,02406282,1213050,Cloud Lake,Cloud Lake town,43,C1,N,N,G4110,A,139963.000000000000000,25486.000000000000000,+26.6748761,-080.0715429,0.015533475487771,0.000015001634236,0.063880292176945
34,12,30200,02405831,1230200,Highland Beach,Highland Beach town,43,C1,N,N,G4110,A,1390058.000000000000000,1949397.000000000000000,+26.4116214,-080.0643524,0.100022676411158,0.000302110607589,1.289369672660182
35,12,27322,02403738,1227322,Greenacres,Greenacres city,25,C1,N,N,G4110,A,15381693.000000000000000,104579.000000000000000,+26.6275773,-080.1372080,0.453269892799901,0.001403598002669,5.979253302665845
36,12,54025,02407067,1254025,Palm Beach,Palm Beach town,43,C1,N,N,G4110,A,9844681.000000000000000,10369882.000000000000000,+26.6948430,-080.0418628,0.397618903164898,0.001833230185949,7.804856113872940
37,12,76417,02786554,1276417,Westlake,Westlake city,25,C1,N,N,G4110,A,16486577.000000000000000,486775.000000000000000,+26.7546830,-080.3014827,0.218512895052832,0.001540067912550,6.553411345553575
38,12,41577,02406054,1241577,Loxahatchee Groves,Loxahatchee Groves town,43,C1,N,N,G4110,A,32404237.000000000000000,40793.000000000000000,+26.7208820,-080.2771954,0.254161386948858,0.002942761330614,12.527031236385367
39,12,42700,02406086,1242700,Manalapan,Manalapan town,43,C1,N,N,G4110,A,1158224.000000000000000,26092311.000000000000000,+26.5666400,-080.0401857,0.210492956097246,0.002468552364579,10.521574024714624
40,12,00075,02628517,1200075,Acacia Villas,Acacia Villas CDP,57,U1,N,N,G4210,S,182127.000000000000000,0.000000000000000,+26.6457353,-080.1104439,0.017292995226043,0.000016509766356,0.070319484825473
41,12,09655,02628519,1209655,Cabana Colony,Cabana Colony CDP,57,U1,N,N,G4210,S,1110637.000000000000000,0.000000000000000,+26.8554408,-080.0864881,0.069955147888683,0.000100860827212,0.428818185411617
42,12,10100,02402745,1210100,Canal Point,Canal Point CDP,57,U1,N,N,G4210,S,3604986.000000000000000,0.000000000000000,+26.8625683,-080.6221690,0.080267160555808,0.000327400740743,1.391885619520187
43,12,28305,02402558,1228305,Gun Club Estates,Gun Club Estates CDP,57,U1,N,N,G4210,S,309354.000000000000000,17333.000000000000000,+26.6753502,-080.1084127,0.023652207901830,0.000029621160399,0.126132362584959
44,12,30858,02402589,1230858,Hillsboro Pines,Hillsboro Pines CDP,57,U1,N,N,G4210,S,545428.000000000000000,10225.000000000000000,+26.3251077,-080.1921413,0.054864630569538,0.000050232909573,0.214539557172400
45,12,35862,02402637,1235862,Juno Ridge,Juno Ridge CDP,57,U1,N,N,G4210,S,549006.000000000000000,36306.000000000000000,+26.8490183,-080.0620287,0.030812839793593,0.000053151126101,0.225988731167850
46,12,35890,02585597,1235890,Jupiter Farms,Jupiter Farms CDP,57,U1,N,N,G4210,S,39060582.000000000000000,33278.000000000000000,+26.9225246,-080.2180366,0.300000170737244,0.003552302348986,15.094168897618925
47,12,36220,02628522,1236220,Kenwood Estates,Kenwood Estates CDP,57,U1,N,N,G4210,S,451734.000000000000000,0.000000000000000,+26.6276185,-080.1152004,0.032722395696930,0.000040942805872,0.174413362976287
48,12,37542,02403187,1237542,Lake Belvedere Estates,Lake Belvedere Estates CDP,57,U1,N,N,G4210,S,712615.000000000000000,21372.000000000000000,+26.6906735,-080.1351533,0.033176348714361,0.000066560174244,0.283392797436853
49,12,38000,02403191,1238000,Lake Harbor,Lake Harbor CDP,57,U1,N,N,G4210,S,3420200.000000000000000,0.000000000000000,+26.6884976,-080.8079227,0.096866182525941,0.000310153585898,1.320542110641576
50,12,40562,02403233,1240562,Limestone Creek,Limestone Creek CDP,57,U1,N,N,G4210,S,1012880.000000000000000,0.000000000000000,+26.9432909,-080.1407835,0.050726015420214,0.000092053116937,0.391073648275232
51,12,56475,02628530,1256475,Pine Air,Pine Air CDP,57,U1,N,N,G4210,S,802174.000000000000000,0.000000000000000,+26.6585973,-080.1074151,0.035773829803863,0.000072724890292,0.309720494510262
52,12,57518,02403429,1257518,Plantation Mobile Home Park,Plantation Mobile Home Park CDP,57,U1,N,N,G4210,S,673425.000000000000000,11416.000000000000000,+26.7025796,-080.1323430,0.031564106862238,0.000062111242812,0.264417191495251
53,12,62118,02403495,1262118,Royal Palm Estates,Royal Palm Estates CDP,57,U1,N,N,G4210,S,649719.000000000000000,0.000000000000000,+26.6816569,-080.1327552,0.031004595182239,0.000058914882543,0.250856853157046
54,12,63435,02628532,1263435,San Castle,San Castle CDP,57,U1,N,N,G4210,S,1088685.000000000000000,0.000000000000000,+26.5651059,-080.0610683,0.053541507141807,0.000098620590909,0.420341150512119
55,12,64547,02402829,1264547,Schall Circle,Schall Circle CDP,57,U1,N,N,G4210,S,627732.000000000000000,0.000000000000000,+26.7151756,-080.1143438,0.039494838958215,0.000056937496803,0.242367444862149
56,12,65100,02402838,1265100,Seminole Manor,Seminole Manor CDP,57,U1,N,N,G4210,S,824424.000000000000000,0.000000000000000,+26.5836183,-080.1013242,0.035881331430191,0.000074693849652,0.318310136301333
57,12,68487,02402892,1268487,Stacey Street,Stacey Street CDP,57,U1,N,N,G4210,S,311814.000000000000000,0.000000000000000,+26.6978428,-080.1238642,0.024623783627625,0.000028278256465,0.120390779246781
58,12,71564,02628565,1271564,The Acreage,The Acreage CDP,57,U1,N,N,G4210,S,88760810.000000000000000,24290.000000000000000,+26.7741863,-080.2768821,0.647058923723667,0.008057204401953,34.279959106938094
59,12,75275,02628537,1275275,Watergate,Watergate CDP,57,U2,N,N,G4210,S,1058127.000000000000000,0.000000000000000,+26.3358582,-080.2126011,0.047519287431866,0.000095665989098,0.408543016280712
60,12,76290,02628539,1276290,Westgate,Westgate CDP,57,U2,N,N,G4210,S,3933996.000000000000000,0.000000000000000,+26.6994110,-080.0988464,0.080964939937196,0.000356779378126,1.518918562286661
